Feature,F-statistic,p-value
Danceability,11.933125632145808,8.378942301424971e-08
Energy,5.3368041264945285,0.0011315354131187572
Loudness,1.0409096288738604,0.3731109454440146
Speechiness,9.890351216796327,1.6346271988855488e-06
Acousticness,0.6933627883605038,0.5559626084340661
Instrumentalness,7.808978501772273,3.310073108626581e-05
Liveness,2.26834901178156,0.07841135500786
Valence,20.245820735800944,4.270392412710499e-13
Tempo,0.37378523795786,0.7719221876827387
Duration_min,2.9571245658935355,0.031074713020146656
Views,0.4360453082432344,0.7272043551557192
Likes,0.15748768870736193,0.9248968321582396
Comments,1.4710883285548573,0.2201923045902056
Stream,2.9342757929589682,0.03205479235526552
EnergyLiveness,2.582527934506869,0.051556149766295745
Cluster,inf,0.0
